GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.002110807;0.003074071
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0.002563164;0.003063006
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;44;NO;YES;NO;NO;0.00361423;0.003060335
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;10;43;YES;NO;NO;NO;0.002720732;0.003048848
TR;Germany;FREESTANDING;SLIMLINE;WHITE;YES;YES;11;E;10;NO;6;49;NO;n.a.;NO;NO;0.002587892;0.003044566
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0.00271788;0.002941704
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0.002544222;0.002877068
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;D;14;NO;6;44;YES;YES;NO;NO;0.002855255;0.002858112
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;15;NO;9;42;YES;NO;NO;NO;0.001274776;0.002773268
AR;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;D;14;NO;6;48;NO;NO;NO;NO;0.001907852;0.002772184
BH;Great Britain;FREESTANDING;SLIMLINE;WHITE;NO;NO;9;F;9;NO;5;48;NO;n.a.;NO;VOICE CONTROL;0.00251838;0.002755934
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;NO;9;41;YES;NO;NO;NO;0.001288063;0.002648341
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;5;46;YES;NO;NO;VOICE CONTROL;1.12373E-05;0.002609256
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;YES;6;45;YES;NO;NO;VOICE CONTROL;0.00258962;0.002598317
BH;Great Britain;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;6;44;YES;n.a.;NO;VOICE CONTROL;0.001635097;0.002586066
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;46;YES;NO;NO;VOICE CONTROL;0.00175886;0.002497239
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;7;42;YES;NO;NO;NO;0.001567277;0.002473196
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;F;13;NO;5;49;NO;NO;NO;NO;0.001378322;0.002460281
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;E;13;NO;4;49;NO;NO;NO;NO;0.001599262;0.002410652
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.001546157;0.002338679
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;10;E;12;NO;4;50;NO;NO;NO;VOICE CONTROL;0.002362311;0.002306742
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;10;43;NO;YES;NO;NO;0.002484802;0.002296756
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;12;YES;6;44;NO;NO;NO;VOICE CONTROL;0.001120879;0.00227069
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0.002496734;0.002239858
WH;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;D;10;NO;8;44;YES;n.a.;NO;NO;0.001860959;0.002231917
AR;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;E;14;YES;6;46;NO;n.a.;NO;NO;0.002097644;0.002207156
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;NO;8;43;NO;NO;NO;NO;0.001573491;0.002185661
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;10;E;12;YES;5;50;NO;NO;NO;VOICE CONTROL;0.001722322;0.002105322
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0.001782926;0.002050215
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;46;YES;NO;NO;VOICE CONTROL;0.001405926;0.002036442
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;C;13;YES;6;44;YES;n.a.;NO;VOICE CONTROL;0.000326839;0.00201918
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.001331939;0.001982873
