GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;42;NO;NO;NO;VOICE CONTROL;0.000458532;0.000201445
TR;Germany;BUILT IN/UNDER;SLIMLINE;METAL LOOK;YES;YES;8;C;10;YES;6;44;NO;NO;NO;NO;0.000222433;0.000201418
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;8;44;YES;NO;NO;NO;0.000469579;0.000201301
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;C;10;YES;6;43;YES;NO;NO;VOICE CONTROL;0.000262865;0.000200376
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;12;YES;5;46;NO;NO;NO;VOICE CONTROL;0.000178627;0.000200169
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;B;10;YES;5;45;YES;NO;NO;VOICE CONTROL;0.000230503;0.000199555
EL;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;NO;10;E;14;YES;6;49;YES;n.a.;NO;NO;0.000103087;0.000199434
AR;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;NO;11;E;10;NO;5;48;NO;NO;NO;NO;0.000300096;0.000198278
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;NO;7;46;NO;NO;NO;NO;0,00;0.000197718
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;C;10;YES;8;43;YES;NO;NO;VOICE CONTROL;8,33E+00;0.000197119
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;NO;7;43;YES;NO;NO;NO;0.000132534;0.00019676
WH;Great Britain;FREESTANDING;SLIMLINE;WHITE;NO;NO;11;n.a.;10;NO;7;49;NO;n.a.;NO;NO;0.000249736;0.000196444
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;C;10;YES;5;44;NO;NO;NO;VOICE CONTROL;0,00;0.000195401
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;14;NO;6;42;YES;YES;NO;NO;0.000314136;0.000195362
WH;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;11;43;YES;n.a.;NO;NO;0.000828274;0.000195252
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;n.a.;NO;VOICE CONTROL;0.000112711;0.000194851
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;NO;8;42;YES;NO;NO;NO;0,00;0.000194448
TR;Germany;BUILT IN/UNDER;FULLSIZE;SILVER;YES;YES;8;B;14;YES;7;43;YES;NO;NO;NO;8,20E+00;0.000193197
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;7;43;NO;NO;NO;NO;0.000132006;0.000192944
EL;Great Britain;BUILT IN/UNDER;FULLSIZE;WHITE;NO;NO;9;E;13;NO;7;44;NO;YES;NO;NO;0.000236057;0.00019294
TR;Germany;BUILT IN/UNDER;FULLSIZE;SILVER;NO;NO;12;n.a.;12;NO;6;54;NO;n.a.;NO;NO;0.000476013;0.00019292
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;E;12;YES;6;44;NO;n.a.;NO;VOICE CONTROL;2,22E+00;0.000192688
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,00;0.000192167
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;13;YES;6;44;NO;n.a.;NO;VOICE CONTROL;0.000221889;0.00019212
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;A;14;YES;5;43;YES;YES;NO;VOICE CONTROL;0.000145194;0.000192007
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;C;10;YES;5;44;NO;NO;NO;VOICE CONTROL;0,00;0.000191827
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;E;14;NO;4;51;NO;NO;NO;NO;0.000401038;0.000191755
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;B;10;YES;7;45;YES;NO;NO;VOICE CONTROL;6,73E+00;0.000190437
AR;Poland;FREESTANDING;FULLSIZE;WHITE;YES;NO;9;E;15;YES;6;43;YES;n.a.;NO;NO;1,82E+00;0.000190329
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;14;YES;5;44;YES;n.a.;NO;VOICE CONTROL;5,68E-01;0.000190145
TR;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;YES;8;44;YES;NO;NO;NO;0.0004214;0.000189772
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;D;9;YES;6;44;NO;YES;NO;VOICE CONTROL;0.00019278;0.000189244
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;E;12;YES;6;44;NO;YES;NO;NO;0.000129852;0.000189131
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;A;14;YES;5;43;NO;NO;NO;VOICE CONTROL;6,22E+00;0.000188957
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;YES;8;46;YES;YES;NO;NO;0.000442068;0.000188819
EL;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;13;YES;6;49;NO;n.a.;n.a.;NO;0.000524377;0.000188744
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;8;42;NO;NO;NO;VOICE CONTROL;0.000896914;0.000188692
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;12;YES;5;46;NO;NO;NO;NO;0.000191246;0.000188509
BH;Poland;BUILT IN/UNDER;FULLSIZE;SILVER;YES;YES;7;E;13;YES;7;46;YES;NO;NO;VOICE CONTROL;0.00018145;0.000187716
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;6;42;NO;NO;NO;NO;0.000207274;0.000187614
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;D;9;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000123915;0.000187593
EL;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;13;YES;5;46;NO;n.a.;NO;NO;0.000441561;0.000186761
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;7;42;NO;NO;NO;VOICE CONTROL;0.000174018;0.000186518
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;8;42;NO;NO;NO;VOICE CONTROL;0.000517569;0.000186
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;E;13;NO;5;48;YES;NO;NO;NO;0.00022154;0.000185917
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;9;C;14;YES;7;43;NO;NO;NO;NO;0.000207692;0.00018573
AR;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;NO;9;B;16;YES;5;43;YES;n.a.;NO;NO;5,75E+00;0.00018573
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;6;42;NO;NO;NO;VOICE CONTROL;0.000157147;0.000185052
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;C;13;NO;6;42;NO;YES;NO;NO;0.000284184;0.000184979
WH;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;NO;9;44;NO;NO;NO;NO;0.000127028;0.000184854
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;NO;0.001124477;0.000184687
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;n.a.;NO;VOICE CONTROL;0.000148865;0.000184648
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;D;14;NO;7;44;YES;NO;NO;NO;0.000849179;0.000184376
AR;Great Britain;FREESTANDING;FULLSIZE;ALL OTHER COL.;YES;NO;11;D;14;NO;5;47;NO;n.a.;NO;NO;0,00;0.000184282
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;A;14;NO;6;43;YES;YES;NO;SMART APP CTRL.;0,00;0.000184126
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;6,47E+00;0.00018384
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;8;42;YES;YES;NO;VOICE CONTROL;0.000102616;0.00018357
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;NO;8;44;NO;YES;NO;NO;0.000118885;0.000183258
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;7;42;NO;NO;NO;VOICE CONTROL;0.000192068;0.000182786
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;10;YES;6;44;YES;NO;NO;VOICE CONTROL;0.000146022;0.000182612
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.000251228;0.00018179
BH;Germany;FREESTANDING;SLIMLINE;WHITE;YES;YES;9;F;9;YES;5;48;NO;n.a.;NO;VOICE CONTROL;0.000120044;0.000181515
WH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;YES;9;43;YES;NO;NO;NO;0.000422646;0.000181139
WH;Germany;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;9;B;15;NO;6;41;YES;n.a.;NO;NO;0,00;0.000181037
BH;Poland;FREESTANDING;SLIMLINE;METAL LOOK;YES;YES;9;F;10;YES;5;46;YES;n.a.;NO;VOICE CONTROL;8,70E+00;0.000180411
BH;Poland;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;9;C;12;YES;6;44;NO;n.a.;NO;VOICE CONTROL;0.000144829;0.000180026
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;8,96E+00;0.000179279
WH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;E;14;NO;8;46;NO;n.a.;n.a.;NO;0.000205685;0.000178547
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;4,98E+00;0.000177646
EL;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;13;YES;5;46;NO;n.a.;NO;NO;0.00033817;0.000177511
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;6;46;YES;NO;NO;NO;0.000298211;0.000177009
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;F;10;YES;6;48;YES;NO;NO;VOICE CONTROL;9,88E+00;0.000176852
EL;Great Britain;BUILT IN/UNDER;FULLSIZE;WHITE;NO;NO;10;D;14;NO;8;46;NO;NO;NO;NO;0.000298177;0.000176755
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;13;YES;5;43;NO;NO;NO;VOICE CONTROL;0.000143634;0.000176733
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;YES;6;48;NO;NO;NO;VOICE CONTROL;3,50E+00;0.000176638
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;5;44;YES;NO;NO;VOICE CONTROL;0.000179641;0.000176261
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;6;46;YES;YES;NO;VOICE CONTROL;0.00067515;0.000175725
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;9;C;16;YES;8;42;YES;YES;NO;NO;0,00;0.000175287
WH;Great Britain;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;n.a.;14;NO;7;41;YES;n.a.;NO;NO;9,17E+00;0.000174635
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;E;9;YES;5;48;NO;NO;NO;VOICE CONTROL;0.000130556;0.000173882
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;16;NO;7;43;YES;NO;NO;NO;6,85E+00;0.000173483
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;12;YES;6;46;NO;NO;NO;VOICE CONTROL;0.000198841;0.000173349
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;C;10;YES;6;43;YES;NO;NO;VOICE CONTROL;0.000127716;0.000173279
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;YES;5;48;NO;NO;NO;NO;0.000331557;0.000173216
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;44;NO;NO;NO;NO;0.001209226;0.000173012
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;YES;6;44;YES;NO;NO;VOICE CONTROL;0.000214981;0.000172978
AR;Germany;BUILT IN/UNDER;FULLSIZE;METAL LOOK;YES;YES;9;C;16;YES;6;42;YES;NO;NO;NO;8,07E+00;0.000172927
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000319765;0.000172862
EL;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;NO;10;E;14;YES;6;49;YES;n.a.;NO;NO;0.000408841;0.000172568
AR;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;NO;9;C;16;YES;5;42;YES;n.a.;YES;SMART APP CTRL.;4,96E-01;0.000172302
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;YES;4;50;NO;n.a.;NO;NO;0.000250558;0.000172274
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0.000337294;0.000172227
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000396337;0.000171991
EL;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;10;C;14;NO;6;44;YES;NO;NO;NO;0,00;0.000171959
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;A;14;NO;6;43;YES;YES;NO;SMART APP CTRL.;0,00;0.000171749
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;C;10;YES;6;43;YES;NO;NO;VOICE CONTROL;8,19E+00;0.00017099
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;14;YES;5;44;YES;n.a.;NO;VOICE CONTROL;5,94E-01;0.000170902
EL;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;44;NO;YES;NO;NO;6,88E-01;0.000170516
WH;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;10;NO;7;43;NO;n.a.;NO;NO;0.000123469;0.000170351
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;5;46;YES;NO;NO;NO;0.001876373;0.000170276
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;5;44;YES;NO;NO;NO;0.000145684;0.000169904
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;15;NO;6;45;YES;NO;NO;NO;0,00;0.000169904
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;n.a.;13;YES;5;44;NO;YES;NO;NO;0.000158784;0.000168732
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;D;9;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000276259;0.000168686
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;8;44;NO;n.a.;NO;VOICE CONTROL;0.000179361;0.000168481
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;8;42;YES;YES;NO;VOICE CONTROL;0.000128284;0.000168342
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;6;E;14;YES;10;43;NO;NO;NO;NO;0.000441561;0.000167848
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;C;10;NO;6;43;YES;NO;NO;VOICE CONTROL;0.00023849;0.000167837
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;C;13;YES;6;44;NO;n.a.;NO;VOICE CONTROL;0.000148404;0.00016767
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;12;NO;4;48;NO;NO;NO;NO;0,00;0.000165491
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;13;YES;5;42;NO;NO;NO;VOICE CONTROL;0,00;0.000165393
EL;Germany;BUILT IN/UNDER;FULLSIZE;METAL LOOK;YES;YES;9;E;13;NO;6;47;NO;NO;NO;NO;0.000155899;0.000165061
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;7;41;NO;NO;NO;VOICE CONTROL;0.000170698;0.000163991
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;14;NO;6;39;NO;YES;NO;NO;0.000103956;0.000163815
AR;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;11;E;10;NO;5;49;NO;NO;NO;NO;0.000565143;0.000162568
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;F;13;NO;5;47;NO;YES;NO;NO;0.000167148;0.000162225
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;A;14;YES;7;43;YES;YES;NO;VOICE CONTROL;0.000158521;0.000162054
AR;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;E;11;YES;8;46;YES;n.a.;NO;NO;0.000455429;0.000161859
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.000128443;0.000161798
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;15;YES;7;44;YES;NO;NO;NO;0.000846292;0.000161757
TR;Germany;BUILT IN/UNDER;FULLSIZE;METAL LOOK;YES;YES;10;D;14;YES;8;44;YES;NO;NO;NO;0.00029812;0.000161683
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000102829;0.000161397
WH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;NO;8;43;YES;NO;NO;NO;0.000163893;0.000160831
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;10;43;YES;YES;NO;NO;0.000190507;0.000160663
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;E;9;YES;5;45;NO;NO;NO;NO;0.001809115;0.000160462
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;16;YES;7;43;YES;NO;NO;NO;0,00;0.00015997
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;14;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;0.000159746
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;n.a.;14;YES;6;44;YES;NO;NO;NO;0.000118129;0.000159708
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;C;13;YES;6;44;NO;n.a.;NO;VOICE CONTROL;9,58E+00;0.000159477
BH;Germany;BUILT IN/UNDER;FULLSIZE;SILVER;YES;YES;10;E;12;YES;5;48;NO;NO;NO;SMART APP CTRL.;3,93E+00;0.000159315
TR;Germany;FREESTANDING;SLIMLINE;METAL LOOK;YES;YES;8;C;10;YES;7;44;YES;n.a.;NO;NO;0.000204586;0.000158942
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;E;9;YES;5;45;NO;NO;NO;NO;0.001818366;0.000158616
TR;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;NO;NO;9;D;10;NO;6;47;NO;NO;NO;NO;0,00;0.0001586
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;YES;6;44;YES;NO;NO;VOICE CONTROL;0.000286836;0.00015819
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;n.a.;14;NO;8;46;YES;NO;NO;NO;0.00012956;0.000157955
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;15;NO;7;44;YES;YES;NO;NO;0.000771418;0.000157885
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;10;E;12;YES;4;50;NO;NO;NO;VOICE CONTROL;0.000287937;0.000157751
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;6;E;14;YES;10;43;NO;NO;NO;NO;0.000135179;0.000157572
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;E;9;YES;4;46;NO;NO;NO;NO;0.000697164;0.000157409
BH;Germany;BUILT IN/UNDER;FULLSIZE;BLACK;YES;YES;9;C;14;YES;6;41;YES;NO;NO;VOICE CONTROL;0,00;0.000157389
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;C;15;NO;7;42;YES;YES;NO;NO;0.000234404;0.000157383
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;5;44;NO;NO;NO;NO;0.004231049;0.000157126
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;6;42;NO;YES;NO;NO;0,00;0.000157047
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;F;9;NO;4;48;YES;NO;NO;VOICE CONTROL;2,73E+00;0.000156213
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;15;NO;8;44;YES;YES;NO;NO;0.000327869;0.000156183
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;13;YES;7;40;NO;NO;NO;VOICE CONTROL;0,00;0.000156095
TR;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;NO;6;49;NO;NO;NO;NO;0.000386366;0.000155517
AR;Great Britain;FREESTANDING;SLIMLINE;SILVER;NO;NO;11;E;10;NO;4;49;NO;n.a.;NO;NO;2,37E+00;0.000155448
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;13;YES;5;43;NO;NO;NO;VOICE CONTROL;0,00;0.000155435
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;5;44;YES;NO;NO;NO;0.003542362;0.000155369
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;YES;NO;VOICE CONTROL;0.000167208;0.000155353
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;42;NO;YES;NO;NO;0.00032401;0.000154574
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;NO;7;44;NO;YES;NO;NO;0,00;0.000154489
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;YES;5;44;YES;NO;NO;VOICE CONTROL;0,00;0.000154402
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;44;NO;NO;NO;NO;0.002637;0.000154242
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;48;NO;n.a.;NO;VOICE CONTROL;8,02E+00;0.00015414
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;NO;NO;12;E;13;NO;4;49;NO;NO;NO;NO;0.000132113;0.000154054
WH;Germany;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;15;NO;7;43;YES;n.a.;NO;NO;0,00;0.000153884
WH;Great Britain;FREESTANDING;FULLSIZE;WHITE;NO;NO;n.a.;E;14;NO;5;46;NO;n.a.;NO;NO;0.000149605;0.000153767
BH;Germany;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;8;42;YES;n.a.;NO;VOICE CONTROL;0.000101068;0.00015359
WH;Germany;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;9;C;15;NO;8;43;YES;n.a.;NO;NO;0,00;0.000153547
BH;Germany;FREESTANDING;SLIMLINE;METAL LOOK;YES;YES;8;E;9;YES;5;46;NO;n.a.;NO;VOICE CONTROL;0.000132661;0.00015353
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;C;10;YES;5;44;NO;NO;NO;VOICE CONTROL;0,00;0.000153027
WH;Great Britain;FREESTANDING;SLIMLINE;SILVER;NO;NO;11;F;10;NO;7;49;NO;n.a.;NO;NO;0.00018651;0.000152557
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;A;14;NO;6;43;YES;YES;NO;NO;0,00;0.000152434
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;14;YES;5;40;YES;NO;NO;VOICE CONTROL;0,00;0.00015242
AR;Germany;BUILT IN/UNDER;FULLSIZE;WHITE;YES;YES;9;E;14;YES;7;44;NO;n.a.;NO;NO;0.000365277;0.000152295
BH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;YES;5;48;NO;NO;NO;NO;8,39E-01;0.000151918
