Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
EL,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,D,12-14,NO,NO,5-10,40-45,YES,NO,YES,NO,NO,0,002
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0007
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0007
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,NO,>10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0007
TR,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,BLACK,NO,NO,11-15,E,9-11,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0007
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0007
WH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0007
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,YES,NO,NO,NO,0,0007
WH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0007
WH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,004
EL,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,F,9-11,NO,NO,<5,45-50,YES,NO,YES,NO,NO,0,004
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,C,>15,YES,NO,5-10,40-45,YES,NO,YES,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,E,>15,YES,YES,5-10,40-45,YES,NO,YES,NO,NO,0,0007
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,40-45,NO,NO,YES,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,YES,NO,NO,NO,0,0007
MI,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0007
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,NO,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0038
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,BLACK,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0007
AR,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,>15,YES,YES,5-10,40-45,YES,NO,NO,YES,NO,0,0038
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0007
WH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,>15,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
AR,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0038
AR,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,>15,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0038
MI,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,F,9-11,NO,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,NO,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,>15,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0038
MI,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,002
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,NO,0,0007
MI,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0007
EL,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,F,9-11,NO,NO,5-10,45-50,YES,NO,YES,NO,NO,0,0037
MI,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0007
AR,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,>15,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,002
BH,Great Britain,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,002
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,>15,YES,YES,5-10,40-45,YES,YES,NO,NO,NO,0,0007
AR,Great Britain,FREESTANDING,SLIMLINE,45-50,80-85,NO,BLACK,YES,NO,11-15,E,9-11,NO,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0007
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,<8,E,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,<40,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,<5,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,9-11,YES,NO,<5,45-50,NO,NO,NO,NO,NO,0,0007
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,B,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0036
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,>15,NO,YES,5-10,<40,YES,NO,NO,NO,NO,0,0036
WH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,NO,<5,>50,NO,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
TR,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,NO,NO,8-10,D,9-11,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0006
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,E,12-14,NO,NO,5-10,45-50,YES,NO,NO,NO,NO,0,0035
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,40-45,NO,NO,YES,NO,NO,0,0006
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0006
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,B,>15,YES,YES,5-10,40-45,YES,YES,NO,NO,NO,0,0006
WH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,NO,NO,8-10,E,12-14,NO,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,002
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,n.a.,NO,0,002
MI,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,F,9-11,NO,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0006
AR,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,BLACK,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0035
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0006
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,E,12-14,NO,NO,5-10,45-50,NO,NO,YES,n.a.,NO,0,0006
WH,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,E,9-11,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0034
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
TR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,NO,NO,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0006
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
TR,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,n.a.,9-11,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0006
AR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0034
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
WH,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,F,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,D,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,SMART APP CTRL.,0,0006
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
EL,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,YES,NO,YES,NO,NO,0,002
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,BLACK,YES,YES,8-10,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0033
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,NO,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0006
WH,Great Britain,FREESTANDING,SLIMLINE,45-50,80-85,NO,SILVER,NO,NO,11-15,F,9-11,NO,NO,5-10,>50,NO,NO,NOT APPLICABLE,NO,NO,0,002
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,NO,0,0006
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
AR,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,>15,YES,YES,5-10,40-45,YES,YES,NO,NO,NO,0,0033
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,WHITE,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0006
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,>15,YES,YES,5-10,40-45,YES,YES,NO,NO,NO,0,0006
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0033
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
WH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,YES,NO,n.a.,NO,NO,0,0006
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0033
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0006
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0033
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
WH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0006
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,ALL OTHER COL.,YES,YES,n.a.,E,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,n.a.,NO,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,YES,NO,VOICE CONTROL,0,0006
TR,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,SILVER,NO,NO,11-15,E,9-11,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,B,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0006
