Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0052
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0052
TR,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0052
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,0285
EL,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,YES,NO,NO,0,015
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0051
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0051
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,005
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0049
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,014
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0048
BH,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,014
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0048
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0048
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,40-45,NO,NO,YES,NO,NO,0,0048
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0047
TR,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,11-15,E,9-11,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0047
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0046
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0045
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,YES,NO,YES,NO,NO,0,0246
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0044
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0044
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,>15,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0043
AR,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,012
